,Title,Artist,Nationality,BeginDate,EndDate,Gender,Date,Department
0,Dress MacLeod from Tartan Sets,Sarah Charlesworth,American,1947.0,2013.0,Female,1986,Prints & Illustrated Books
1,"Duplicate of plate from folio 11 verso (supplementary suite, plate 4) from ARDICIA",Pablo Palazuelo,Spanish,1916.0,2007.0,Male,1978,Prints & Illustrated Books
2,Tailpiece (page 55) from SAGESSE,Maurice Denis,French,1870.0,1943.0,Male,1900,Prints & Illustrated Books
3,"Headpiece (page 129) from LIVRET DE FOLASTRIES, À JANOT PARISIEN",Aristide Maillol,French,1861.0,1944.0,Male,1900,Prints & Illustrated Books
4,97 rue du Bac,Eugène Atget,French,1857.0,1927.0,Male,1903,Photography
5,Pictorial ornament (folio 11) from WOODCUTS,Antonio Frasconi,American,1919.0,2013.0,Male,1957,Prints & Illustrated Books
6,Rue de l'Hôtel-de-Ville,Eugène Atget,French,1857.0,1927.0,Male,1924,Photography
7,Los Angeles Airport,Garry Winogrand,American,1928.0,1984.0,Male,1900,Photography
8,Why Defy from Disasters of Peace,Diane Victor,South African,1964.0,,Female,2001,Prints & Illustrated Books
9,STILL WATER AND FISH,David Brown Milne,Canadian,1882.0,1953.0,Male,1941,Prints & Illustrated Books
10,In-text plate (folio 11) from LA MÉTROMANIE,Jean Dubuffet,French,1901.0,1985.0,Male,1900,Prints & Illustrated Books
11,Black Bathroom,Jim Dine,American,1935.0,,Male,1963,Prints & Illustrated Books
12,In-text plate (page 108) from LYSISTRATA,František Kupka,Czech,1871.0,1957.0,Male,1900,Prints & Illustrated Books
13,Transcendence. Designs for the Ballet,Franklin Chenault Watkins,American,1894.0,1972.0,Male,1934,Drawings
14,Untitled,Christopher Wool,American,1955.0,,Male,1997,Prints & Illustrated Books
15,Isadora Duncan,Abraham Walkowitz,American,1878.0,1965.0,Male,1900,Drawings
16,L'Avenir de la Propriété,Pierre Alechinsky,Belgian,1927.0,,Male,1972,Prints & Illustrated Books
17,Arundel Castle from Black Series I,Frank Stella,American,1936.0,,Male,1967,Prints & Illustrated Books
18,"Block fragments from the Samuel Freeman House, Los Angeles, CA",Frank Lloyd Wright,American,1867.0,1959.0,Male,1900,Architecture & Design
19,Plate (folio 35) from ACORDE,Vicente Rojo,Spanish,1932.0,,Male,1979,Prints & Illustrated Books
20,"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,American,1886.0,1969.0,Male,1900,Architecture & Design
21,"SA. Sovremennaia Arkhitektura (CA. Contemporary Architecture), no. 5",Varvara Stepanova,Russian,1894.0,1958.0,Female,1929,Prints & Illustrated Books
22,Untitled,Richard Serra,American,1938.0,,Male,1972,Drawings
23,Research on the Origin,Robert Filliou,French,1926.0,1987.0,Male,1974,Prints & Illustrated Books
24,Plate (folio 17) from KAFKA,Roger Chancel,French,1898.0,1976.0,Male,1957,Prints & Illustrated Books
25,Tailpiece (page 35) from SAINTE MONIQUE,Pierre Bonnard,French,1867.0,1947.0,Male,1900,Prints & Illustrated Books
26,Bowl,Jacqueline Poncelet,British,1947.0,,Female,1974,Architecture & Design
27,Tailpiece (folio 42 verso) from LES AMOURS,Émile Bernard,French,1868.0,1941.0,Male,1915,Prints & Illustrated Books
28,Tuileries (vase),Eugène Atget,French,1857.0,1927.0,Male,1912,Photography
29,Plate 23 (folio 25) from MALELADE,Georg Baselitz,German,1938.0,,Male,1900,Prints & Illustrated Books
30,"Duplicate of plate from folio 104 (supplementary suite, plate 95) from LA VILLE",Frans Masereel,Belgian,1889.0,1972.0,Male,1925,Prints & Illustrated Books
31,Untitled,Unknown,Nationality Unknown,,,Gender Unknown,1925,Photography
32,"Plate (folio 28) from Six Geometric Figures and All Their Combinations, Volume I",Sol LeWitt,American,1928.0,2007.0,Male,1980,Prints & Illustrated Books
33,Chamber Music,James Tenney,American,1934.0,2006.0,Male,1964,Prints & Illustrated Books
34,Plate (following folio V) from NOTES,Claes Oldenburg,American,1929.0,,Male,1968,Prints & Illustrated Books
35,Chocolate Object (Schokolade-Objekt),Dieter Roth,Swiss,1930.0,1998.0,Male,1969,Prints & Illustrated Books
36,Mandry Ven'iamyna Tret'oho,Moisei Fradkin,Nationality Unknown,,,Male,1934,Prints & Illustrated Books
37,Dust jacket front (duplicate of folder front) from 2 POEMAS,Antonio Frasconi,American,1919.0,2013.0,Male,1953,Prints & Illustrated Books
38,Fun City from Fun City,Richard Lindner,American,1901.0,1978.0,Male,1971,Prints & Illustrated Books
39,Angels from Witebsk,Wojciech Prazmowski,Polish,1949.0,,Male,1988,Photography
40,Tailpiece (page 62) from FABLES,Thomas Bewick,British,1753.0,1828.0,Male,1818,Prints & Illustrated Books
41,Untitled,Spencer Sweeney,American,1973.0,,Male,2002,Drawings
42,Variety,Batiste Madalena,American,1902.0,1988.0,Male,1926,Film
43,Stars and Disasters (Astres et Désastres),Pierre Alechinsky,Belgian,1927.0,,Male,1969,Prints & Illustrated Books
44,"U.S. Embassy Building, Tokyo Project (Aerial perspective)",Frank Lloyd Wright,American,1867.0,1959.0,Male,1914,Architecture & Design
45,"Tuesday, Dec. 18, 1979",On Kawara,Japanese,1933.0,,Male,1979,Painting & Sculpture
46,"Bank by Andy Warhol. Gaudy Savings by RCA Color Scanner. Pretty as a Pigture, Huh?",Andy Warhol,American,1928.0,1987.0,Male,1968,Architecture & Design
47,"Pittsburgh, Pennsylvania",Lee Friedlander,American,1934.0,,Male,1979,Photography
48,Double page plate (between pages 96 and 97) from UBU ROI,Joan Miró,Spanish,1893.0,1983.0,Male,1966,Prints & Illustrated Books
49,"Unity Temple, Oak Park, IL",Frank Lloyd Wright,American,1867.0,1959.0,Male,1904,Architecture & Design
50,PORTRAITS DE CHOPIN,Marc Chagall,French,1887.0,1985.0,Male,1949,Prints & Illustrated Books
51,The Razorback Bunch (Etching III),Robert Rauschenberg,American,1925.0,2008.0,Male,1981,Prints & Illustrated Books
52,Identity Transfer from Program One: Aspen Projects,Dennis Oppenheim,American,1938.0,2011.0,Male,1970,Media and Performance Art
53,Lipstick (Ascending) on Caterpillar Track,Claes Oldenburg,American,1929.0,,Male,1969,Prints & Illustrated Books
54,"""1 PERSON/1 PLACE"" from the portfolio DETAILS FROM THE EXCAVATION OF WOOSTER STREET",Richard Nonas,American,1936.0,,Male,1972,Prints & Illustrated Books
55,Bagatelle,Eugène Atget,French,1857.0,1927.0,Male,1900,Photography
56,The Barbie Doll Drawings #27,Adrian Piper,American,1948.0,,Female,1967,Drawings
57,"Gericke House, project, Berlin-Wannsee, Germany, Landscape model",Ludwig Mies van der Rohe,American,1886.0,1969.0,Male,1932,Architecture & Design
58,Plate (page 209) from LES PETITES FLEURS,Émile Bernard,French,1868.0,1941.0,Male,1928,Prints & Illustrated Books
59,"Mechanical for Ticket for Fluxorchestra at Carnegie Hall, Carnegie Recital Hall, New York, September 25, 1965",George Maciunas,American,1931.0,1978.0,Male,1965,Prints & Illustrated Books
60,Untitled,Louise Bourgeois,American,1911.0,2010.0,Female,2003,Prints & Illustrated Books
61,"Banco Pinto & Sotto Mayor, Oliveira de Azeméis, Portugal, Plan sketch",Álvaro Siza,Portuguese,1933.0,,Male,1900,Architecture & Design
62,Overcast Dusk-Glassy Lake from Loon Lake: Eleven Drawings,Ellen Phelan,American,1943.0,,Female,1983,Drawings
63,"Golf Club Project, Krefeld, Germany",Ludwig Mies van der Rohe,American,1886.0,1969.0,Male,1930,Architecture & Design
64,Stamp Box,Josef Hoffmann,Austrian,1870.0,1956.0,Male,1946,Architecture & Design
65,"Library, Villeurbanne, France, Interior rear elevation",Mario Botta,Swiss,1943.0,,Male,1984,Architecture & Design
66,Studio II 1982 from Architecture Models 1980-2006 (Architektur Modelle 1980-2006),Thomas Schütte,German,1954.0,,Male,2006,Prints & Illustrated Books
67,"Looking out from Black Hawks Cave, Wisconsin Dells",Henry Hamilton Bennett,American,1843.0,1908.0,Male,1885,Photography
68,"Apollon Musagete, design for Scenery",Pavel Tchelitchew,American,1898.0,1957.0,Male,1942,Drawings
69,LA RUE DE LA PARCHEMINERIE APRÈS DÉMOLITION,Eugène Atget,French,1857.0,1927.0,Male,1913,Photography
70,Scroll Down and Keep Scrolling,Fiona Banner,British,1966.0,,Female,2015,Prints & Illustrated Books
71,"""Untitled""",Felix Gonzalez-Torres,American,1957.0,1996.0,Male,1987,Painting & Sculpture
72,Plate (page 89) from L'ÉVANGILE,Léo Marchutz,French,1903.0,1976.0,Male,1900,Prints & Illustrated Books
73,Pleasures and Terrors of Levitation 50,Aaron Siskind,American,1903.0,1991.0,Male,1965,Photography
74,Tailpiece (page 44) from FABLES,Thomas Bewick,British,1753.0,1828.0,Male,1818,Prints & Illustrated Books
75,"KOTSCHEI (plate, folio 7) from DEM FEUERVOGEL",Helmut A. P. Grieshaber,German,1909.0,1981.0,Male,1961,Prints & Illustrated Books
76,RUES LANNEAU ET DES CARMES,Eugène Atget,French,1857.0,1927.0,Male,1925,Photography
77,Plate (page 160) from RÉINCARNATIONS DU PÈRE UBU,Georges Rouault,French,1871.0,1958.0,Male,1900,Prints & Illustrated Books
78,"Landscape Triptych No. 1, State IV/IV",Fred Williams,Australian,1927.0,1982.0,Male,1962,Prints & Illustrated Books
79,"Mr. Bennett, Vermont",Paul Strand,American,1890.0,1976.0,Male,1944,Photography
80,Portrait of Alice (frontispiece) from Alice in Wonderland,Marie Laurencin,French,1883.0,1956.0,Female,1930,Prints & Illustrated Books
81,C.N.T. from the portfolio Color Guard Etcetera,Juan Hidalgo,Spanish,1927.0,,Male,1991,Prints & Illustrated Books
82,"Untitled. (portrait of man with dark glasses, Heino?)",Michael Schmidt,German,1945.0,2014.0,Male,1900,Photography
83,Fortune,Kiki Smith,American,1954.0,,Female,2008,Prints & Illustrated Books
84,"Meeting Street, Charleston, South Carolina, August 3, 1975",Stephen Shore,American,1947.0,,Male,1975,Photography
85,Cover for Old Stories (Les Vieilles Histoires),Henri de Toulouse-Lautrec,French,1864.0,1901.0,Male,1893,Prints & Illustrated Books
86,Untitled,Willem de Kooning,American,1904.0,1997.0,Male,1966,Drawings
87,"Double page plate (folios 14 and 15) from AMISH, Volume II",Stephen White,American,1948.0,,Male,1900,Prints & Illustrated Books
88,Are You Rea #17,Robert Heinecken,American,1931.0,2006.0,Male,1900,Photography
89,Headpiece (page 93) from PASSION,Georges Rouault,French,1871.0,1958.0,Male,1900,Prints & Illustrated Books
90,Bar Tools,Studio Opi,Italian,1955.0,,Gender Unknown,1969,Architecture & Design
91,Multi-use Rocker Prototype,Frederick Kiesler,American,1890.0,1965.0,Male,1942,Architecture & Design
92,Cascade Mountains,Lee Friedlander,American,1934.0,,Male,1980,Photography
93,Japanese House in the Garden of the Museum of Modern Art,Ezra Stoller,American,1915.0,2004.0,Male,1955,Architecture & Design
94,"Neue Wache War Memorial Project, Berlin-Mitte, Germany",Ludwig Mies van der Rohe,American,1886.0,1969.0,Male,1930,Architecture & Design
95,[History of Art Chart],George Maciunas,American,1931.0,1978.0,Male,1900,Prints & Illustrated Books
96,Bagatelle,Eugène Atget,French,1857.0,1927.0,Male,1922,Photography
97,MR1002 Flower stand (Plan and detail sections),Ludwig Mies van der Rohe,American,1886.0,1969.0,Male,1934,Architecture & Design
98,FONTAINEBLEAU. COUR CHEVAL BLANC,Eugène Atget,French,1857.0,1927.0,Male,1903,Photography
99,The Toe Tactic,Emily Hubley,American,1958.0,,Female,2008,Film
100,"Paper Piece, Festival of Misfits, ICA, London, October 23- November 8, 1962",Benjamin Patterson,American,1934.0,2016.0,Male,1962,Prints & Illustrated Books
101,"Taliesin Fellowship Complex, Midway Farm, Spring Green, WI (Plan and elevation of tower and weather vane)",Frank Lloyd Wright,American,1867.0,1959.0,Male,1944,Architecture & Design
102,The Navy Needs You! Don't Read American History - Make It! U.S. Navy Recruiting Station,James Montgomery Flagg,American,1877.0,1960.0,Male,1900,Architecture & Design
103,Untitled,Carey Maxon,American,1978.0,,Female,2003,Drawings
104,Untitled from Program,Jorge Pardo,American,1963.0,,Male,2012,Prints & Illustrated Books
105,Plate (folio 8) from LE STANZE OSCURE,Cesare Peverelli,Italian,1922.0,2000.0,Male,1965,Prints & Illustrated Books
106,Photographic Views and Studies of Canadian Scenery,Alexander Henderson,Canadian,1831.0,1913.0,Male,1865,Photography
107,"Georgetown County Court House, Georgetown, South Carolina, February 20, 1976",Stephen Shore,American,1947.0,,Male,1976,Photography
108,"Meudon, ancien château",Eugène Atget,French,1857.0,1927.0,Male,1902,Photography
109,Bright Leaves,Ross McElwee,Nationality Unknown,,,Male,2003,Film
110,A Mounatin Called Desire (Una Montaña llamada deseo),Sandra Vásquez de la Horra,Chilean,1967.0,,Female,2010,Drawings
111,Plate XLVII from the Barcelona Series,Joan Miró,Spanish,1893.0,1983.0,Male,1944,Prints & Illustrated Books
112,Canto VI from 18 Cantos,Barnett Newman,American,1905.0,1970.0,Male,1963,Prints & Illustrated Books
113,Chagres River from the Fort,Eadweard J. Muybridge,American,1830.0,1904.0,Male,1875,Photography
114,"Men of Air, New York",Robert Frank,American,1924.0,,Male,1948,Photography
115,William Eggleston and Friend,Lee Friedlander,American,1934.0,,Male,1990,Photography
116,Seated Nude,Fernand Léger,French,1881.0,1955.0,Male,1913,Drawings
117,"Extraordinary Contorted ""Marble Cake"" Moraine of Susitna Glacier, Central Alaska",Bradford Washburn,American,1910.0,2007.0,Male,1958,Photography
118,"Friedrichstrasse Skyscraper Project, Berlin-Mitte, Germany (Floor plan)",Ludwig Mies van der Rohe,American,1886.0,1969.0,Male,1921,Architecture & Design
119,Ouray from Copper Series,Frank Stella,American,1936.0,,Male,1970,Prints & Illustrated Books
120,Bodies of Women (Corps de dames),Jean Dubuffet,French,1901.0,1985.0,Male,1950,Prints & Illustrated Books
121,Ear,Louise Bourgeois,American,1911.0,2010.0,Female,2004,Prints & Illustrated Books
