experience_coding,python_user,r_user,sql_user,most_used,compensation
6.1,TRUE,FALSE,TRUE,Scikit-learn,124267
12.3,TRUE,TRUE,TRUE,Scikit-learn,236889
2.2,TRUE,FALSE,FALSE,None,74321
2.7,FALSE,FALSE,TRUE,None,62593
1.2,TRUE,FALSE,FALSE,Scikit-learn,36288
1,TRUE,FALSE,FALSE,PyTorch,61302
1.8,FALSE,FALSE,FALSE,None,68984
6.1,TRUE,FALSE,FALSE,TensorFlow,18858
4.5,TRUE,FALSE,TRUE,Scikit-learn,55418
1.1,TRUE,FALSE,TRUE,TensorFlow,614
2.7,TRUE,TRUE,TRUE,None,70564
0.93,TRUE,TRUE,FALSE,Scikit-learn,55525
0.32,TRUE,FALSE,FALSE,None,61005
9.9,TRUE,FALSE,TRUE,Scikit-learn,2846
0.78,TRUE,FALSE,FALSE,TensorFlow,21
13.5,TRUE,FALSE,FALSE,Scikit-learn,14699
26.5,TRUE,FALSE,TRUE,Scikit-learn,2110
1.5,TRUE,FALSE,TRUE,Scikit-learn,620
3.4,TRUE,FALSE,TRUE,PyTorch,73527
0.6,FALSE,FALSE,FALSE,None,6992
0.95,TRUE,FALSE,FALSE,None,22311
4.6,TRUE,TRUE,TRUE,Scikit-learn,1377
2.8,FALSE,TRUE,FALSE,None,69174
28.2,TRUE,FALSE,TRUE,Scikit-learn,117636
1.4,TRUE,TRUE,TRUE,TensorFlow,65937
4.8,TRUE,FALSE,FALSE,Scikit-learn,27856
0.37,TRUE,TRUE,FALSE,Scikit-learn,903
4.5,TRUE,FALSE,FALSE,TensorFlow,50501
4.4,TRUE,FALSE,FALSE,Scikit-learn,482
0.69,TRUE,FALSE,FALSE,None,70407
1.5,TRUE,FALSE,FALSE,None,8690
9.6,TRUE,TRUE,TRUE,None,114648
0.31,FALSE,TRUE,FALSE,None,73454
3.5,TRUE,FALSE,FALSE,None,8075
1,TRUE,FALSE,FALSE,None,59151
0.2,TRUE,TRUE,TRUE,None,70112
0.39,TRUE,FALSE,TRUE,None,70183
5,TRUE,FALSE,FALSE,None,64502
4,TRUE,FALSE,TRUE,None,2521
0.47,TRUE,FALSE,FALSE,Scikit-learn,63616
8.1,TRUE,FALSE,TRUE,Scikit-learn,59849
1.8,TRUE,FALSE,FALSE,None,31516
17.1,TRUE,FALSE,TRUE,TensorFlow,18582
1.4,TRUE,FALSE,FALSE,Keras,4187
1.3,TRUE,FALSE,FALSE,None,64405
3.1,TRUE,FALSE,FALSE,Keras,114807
0.26,TRUE,FALSE,TRUE,Scikit-learn,632
2.1,TRUE,TRUE,FALSE,Scikit-learn,61157
4.4,TRUE,FALSE,TRUE,Keras,1194
5.2,TRUE,TRUE,FALSE,Scikit-learn,28955
0.7,TRUE,TRUE,TRUE,TensorFlow,56553
0.69,FALSE,FALSE,FALSE,None,75177
1.3,FALSE,TRUE,TRUE,None,28009
1.5,TRUE,FALSE,TRUE,Scikit-learn,67074
2.2,FALSE,FALSE,TRUE,None,50059
6.3,FALSE,FALSE,FALSE,TensorFlow,7624
2.9,TRUE,FALSE,FALSE,None,74321
1.2,TRUE,TRUE,FALSE,None,671
1.5,TRUE,FALSE,TRUE,TensorFlow,837
1.8,TRUE,FALSE,TRUE,Scikit-learn,2011
0.91,FALSE,FALSE,FALSE,Scikit-learn,62937
4.5,TRUE,FALSE,FALSE,None,685
1.6,TRUE,FALSE,TRUE,Scikit-learn,41615
0.27,TRUE,FALSE,FALSE,None,52572
2.6,TRUE,FALSE,FALSE,Scikit-learn,51856
1.7,TRUE,FALSE,FALSE,Keras,411
0.74,TRUE,FALSE,FALSE,None,152
2.7,TRUE,FALSE,FALSE,TensorFlow,8181
0.99,TRUE,TRUE,FALSE,Keras,2708
24.8,TRUE,FALSE,FALSE,Scikit-learn,55041
0.32,TRUE,TRUE,TRUE,Scikit-learn,68412
3.5,FALSE,FALSE,TRUE,TensorFlow,6141
5.7,FALSE,FALSE,TRUE,None,3979
22,TRUE,FALSE,FALSE,Keras,3760
9.9,TRUE,FALSE,FALSE,Keras,57465
3.9,TRUE,FALSE,FALSE,Keras,3864
20.5,TRUE,FALSE,FALSE,None,488487
0.81,TRUE,FALSE,FALSE,Scikit-learn,24393
9.8,TRUE,FALSE,FALSE,TensorFlow,68624
1.5,TRUE,FALSE,TRUE,None,70796
12.3,TRUE,TRUE,TRUE,Scikit-learn,236889
6.6,TRUE,FALSE,TRUE,PyTorch,57861
2.1,TRUE,FALSE,FALSE,None,21055
2.5,TRUE,FALSE,FALSE,Keras,59167
0,FALSE,FALSE,FALSE,None,55882
1.7,FALSE,FALSE,FALSE,None,73802
5.3,TRUE,FALSE,TRUE,Scikit-learn,21206
1.4,TRUE,FALSE,TRUE,Scikit-learn,79803
1.5,TRUE,FALSE,TRUE,None,73043
28.2,TRUE,FALSE,TRUE,PyTorch,268191
0.97,TRUE,FALSE,TRUE,Scikit-learn,14298
1.1,TRUE,FALSE,TRUE,Scikit-learn,68805
7,TRUE,FALSE,FALSE,TensorFlow,56003
1,TRUE,FALSE,TRUE,None,73664
0.71,TRUE,FALSE,TRUE,Scikit-learn,434
