experience_coding,python_user,r_user,sql_user,most_used,compensation,categories
6.1,True,False,True,Scikit-learn,124267,5-10 Years
12.3,True,True,True,Scikit-learn,236889,10-15 Years
2.2,True,False,False,,74321, < 5 Years
2.7,False,False,True,,62593, < 5 Years
1.2,True,False,False,Scikit-learn,36288, < 5 Years
1.0,True,False,False,PyTorch,61302, < 5 Years
1.8,False,False,False,,68984, < 5 Years
6.1,True,False,False,TensorFlow,18858,5-10 Years
4.5,True,False,True,Scikit-learn,55418, < 5 Years
1.1,True,False,True,TensorFlow,614, < 5 Years
2.7,True,True,True,,70564, < 5 Years
0.93,True,True,False,Scikit-learn,55525, < 5 Years
0.32,True,False,False,,61005, < 5 Years
9.9,True,False,True,Scikit-learn,2846,5-10 Years
0.78,True,False,False,TensorFlow,21, < 5 Years
13.5,True,False,False,Scikit-learn,14699,10-15 Years
26.5,True,False,True,Scikit-learn,2110,25+ Years
1.5,True,False,True,Scikit-learn,620, < 5 Years
3.4,True,False,True,PyTorch,73527, < 5 Years
0.6,False,False,False,,6992, < 5 Years
0.95,True,False,False,,22311, < 5 Years
4.6,True,True,True,Scikit-learn,1377, < 5 Years
2.8,False,True,False,,69174, < 5 Years
28.2,True,False,True,Scikit-learn,117636,25+ Years
1.4,True,True,True,TensorFlow,65937, < 5 Years
4.8,True,False,False,Scikit-learn,27856, < 5 Years
0.37,True,True,False,Scikit-learn,903, < 5 Years
4.5,True,False,False,TensorFlow,50501, < 5 Years
4.4,True,False,False,Scikit-learn,482, < 5 Years
0.69,True,False,False,,70407, < 5 Years
1.5,True,False,False,,8690, < 5 Years
9.6,True,True,True,,114648,5-10 Years
0.31,False,True,False,,73454, < 5 Years
3.5,True,False,False,,8075, < 5 Years
1.0,True,False,False,,59151, < 5 Years
0.2,True,True,True,,70112, < 5 Years
0.39,True,False,True,,70183, < 5 Years
5.0,True,False,False,,64502,5-10 Years
4.0,True,False,True,,2521, < 5 Years
0.47,True,False,False,Scikit-learn,63616, < 5 Years
8.1,True,False,True,Scikit-learn,59849,5-10 Years
1.8,True,False,False,,31516, < 5 Years
17.1,True,False,True,TensorFlow,18582,15-20 Years
1.4,True,False,False,Keras,4187, < 5 Years
1.3,True,False,False,,64405, < 5 Years
3.1,True,False,False,Keras,114807, < 5 Years
0.26,True,False,True,Scikit-learn,632, < 5 Years
2.1,True,True,False,Scikit-learn,61157, < 5 Years
4.4,True,False,True,Keras,1194, < 5 Years
5.2,True,True,False,Scikit-learn,28955,5-10 Years
0.7,True,True,True,TensorFlow,56553, < 5 Years
0.69,False,False,False,,75177, < 5 Years
1.3,False,True,True,,28009, < 5 Years
1.5,True,False,True,Scikit-learn,67074, < 5 Years
2.2,False,False,True,,50059, < 5 Years
6.3,False,False,False,TensorFlow,7624,5-10 Years
2.9,True,False,False,,74321, < 5 Years
1.2,True,True,False,,671, < 5 Years
1.5,True,False,True,TensorFlow,837, < 5 Years
1.8,True,False,True,Scikit-learn,2011, < 5 Years
0.91,False,False,False,Scikit-learn,62937, < 5 Years
4.5,True,False,False,,685, < 5 Years
1.6,True,False,True,Scikit-learn,41615, < 5 Years
0.27,True,False,False,,52572, < 5 Years
2.6,True,False,False,Scikit-learn,51856, < 5 Years
1.7,True,False,False,Keras,411, < 5 Years
0.74,True,False,False,,152, < 5 Years
2.7,True,False,False,TensorFlow,8181, < 5 Years
0.99,True,True,False,Keras,2708, < 5 Years
24.8,True,False,False,Scikit-learn,55041,20-25 Years
0.32,True,True,True,Scikit-learn,68412, < 5 Years
3.5,False,False,True,TensorFlow,6141, < 5 Years
5.7,False,False,True,,3979,5-10 Years
22.0,True,False,False,Keras,3760,20-25 Years
9.9,True,False,False,Keras,57465,5-10 Years
3.9,True,False,False,Keras,3864, < 5 Years
20.5,True,False,False,,488487,20-25 Years
0.81,True,False,False,Scikit-learn,24393, < 5 Years
9.8,True,False,False,TensorFlow,68624,5-10 Years
1.5,True,False,True,,70796, < 5 Years
12.3,True,True,True,Scikit-learn,236889,10-15 Years
6.6,True,False,True,PyTorch,57861,5-10 Years
2.1,True,False,False,,21055, < 5 Years
2.5,True,False,False,Keras,59167, < 5 Years
0.0,False,False,False,,55882, < 5 Years
1.7,False,False,False,,73802, < 5 Years
5.3,True,False,True,Scikit-learn,21206,5-10 Years
1.4,True,False,True,Scikit-learn,79803, < 5 Years
1.5,True,False,True,,73043, < 5 Years
28.2,True,False,True,PyTorch,268191,25+ Years
0.97,True,False,True,Scikit-learn,14298, < 5 Years
1.1,True,False,True,Scikit-learn,68805, < 5 Years
7.0,True,False,False,TensorFlow,56003,5-10 Years
1.0,True,False,True,,73664, < 5 Years
0.71,True,False,True,Scikit-learn,434, < 5 Years
9.3,True,True,False,Keras,52109,5-10 Years
1.7,True,False,False,PyTorch,10284, < 5 Years
20.5,True,False,False,Keras,43906,20-25 Years
0.75,True,False,False,,67971, < 5 Years
0.98,True,False,True,,58465, < 5 Years
0.8,False,True,False,,64488, < 5 Years
1.3,True,False,False,,7709, < 5 Years
0.36,True,False,False,Keras,1957, < 5 Years
1.2,True,False,True,Scikit-learn,4131, < 5 Years
8.6,True,False,False,Scikit-learn,26022,5-10 Years
18.4,True,False,True,,29926,15-20 Years
2.7,False,False,True,,62593, < 5 Years
24.3,True,True,True,,109543,20-25 Years
0.94,True,False,True,,107644, < 5 Years
1.4,False,True,True,,1047, < 5 Years
3.3,True,False,False,,59909, < 5 Years
0.93,True,False,False,,68344, < 5 Years
2.3,True,False,False,TensorFlow,54427, < 5 Years
0.59,False,False,False,,70930, < 5 Years
1.2,True,False,False,,50835, < 5 Years
8.5,True,True,True,Keras,14151,5-10 Years
3.3,False,True,False,,11681, < 5 Years
21.1,True,False,True,,71808,20-25 Years
1.2,False,False,False,,70991, < 5 Years
12.2,True,True,True,Scikit-learn,31626,10-15 Years
3.8,False,False,False,TensorFlow,52416, < 5 Years
4.3,True,False,False,Keras,288146, < 5 Years
13.1,True,False,True,TensorFlow,65143,10-15 Years
24.3,True,False,False,PyTorch,34866,20-25 Years
1.6,True,True,False,Keras,186, < 5 Years
2.9,True,False,False,Scikit-learn,60065, < 5 Years
9.4,True,False,False,,40336,5-10 Years
7.7,True,False,False,Scikit-learn,115654,5-10 Years
0.3,True,False,True,,431, < 5 Years
9.0,True,True,False,TensorFlow,59814,5-10 Years
4.2,True,False,True,TensorFlow,45413, < 5 Years
1.9,False,False,False,,4196, < 5 Years
8.3,True,False,False,,55751,5-10 Years
0.21,True,False,False,Scikit-learn,61912, < 5 Years
18.8,True,False,False,,49478,15-20 Years
9.3,False,False,True,Scikit-learn,29139,5-10 Years
1.8,True,False,False,Keras,67272, < 5 Years
2.8,True,False,False,TensorFlow,70264, < 5 Years
2.4,True,False,True,Scikit-learn,264, < 5 Years
15.3,True,True,True,Keras,14853,15-20 Years
3.9,True,False,False,Scikit-learn,55482, < 5 Years
0.3,True,False,False,Scikit-learn,26, < 5 Years
0.8,False,False,True,,250, < 5 Years
0.79,True,True,False,Scikit-learn,66025, < 5 Years
11.1,True,False,True,,55906,10-15 Years
0.24,True,False,False,,63754, < 5 Years
19.7,True,False,True,TensorFlow,86855,15-20 Years
8.5,True,False,False,Keras,63242,5-10 Years
0.26,True,False,True,,70448, < 5 Years
0.75,True,False,False,Scikit-learn,68964, < 5 Years
24.4,True,False,True,Scikit-learn,111583,20-25 Years
